timestamp,bch_supply,bch_usd,bch_vol,btc_supply,btc_usd,btc_vol,eth_supply,eth_usd,eth_vol
1537534917.138,17360575.0,484.809056292,488671815.266447,17279787.0,6742.6458111,5576468987.43797,102095631.0,227.131017192,2256653599.044
1537534977.138,17360575.0,484.809056292,488671815.266447,17279787.0,6742.6458111,5576468987.43797,102095631.0,227.131017192,2256653599.044
1537535037.138,17360575.0,485.108688234,488999391.396202,17279787.0,6738.67478377,5571862274.40137,102095631.0,227.10722436,2256926466.75862
1537535097.138,17360575.0,485.108688234,488999391.396202,17279787.0,6738.67478377,5571862274.40137,102095631.0,227.10722436,2256926466.75862
1537535157.138,17360575.0,485.108688234,488999391.396202,17279787.0,6738.67478377,5571862274.40137,102095631.0,227.10722436,2256926466.75862
1537535217.138,17360575.0,485.381891652,489437099.051415,17279787.0,6737.63088345,5575624560.41725,102095631.0,226.940482171,2250909006.25112
1537535277.138,17360575.0,485.381891652,489437099.051415,17279787.0,6737.63088345,5575624560.41725,102095631.0,226.940482171,2250909006.25112
1537535337.138,17360575.0,485.381891652,489437099.051415,17279787.0,6737.63088345,5575624560.41725,102095631.0,226.940482171,2250909006.25112
1537535397.138,17360575.0,485.292831641,489366809.227556,17279787.0,6738.95392098,5569269907.13506,102095631.0,227.256403587,2253785545.61342
1537535457.138,17360575.0,485.292831641,489366809.227556,17279787.0,6738.95392098,5569269907.13506,102095631.0,227.256403587,2253785545.61342
1537535517.138,17360575.0,485.292831641,489366809.227556,17279787.0,6738.95392098,5569269907.13506,102095631.0,227.256403587,2253785545.61342
1537535577.138,17360575.0,484.227399187,487981090.314656,17279787.0,6738.01483783,5570280452.60822,102095631.0,227.294172744,2253109659.01536
1537535637.138,17360575.0,484.227399187,487981090.314656,17279787.0,6738.01483783,5570280452.60822,102095631.0,227.294172744,2253109659.01536
1537535697.138,17360575.0,484.227399187,487981090.314656,17279787.0,6738.01483783,5570280452.60822,102095631.0,227.294172744,2253109659.01536
1537535757.138,17360575.0,484.228179972,488015054.303541,17279787.0,6740.95529116,5565787348.98211,102095631.0,227.389423857,2254276741.631
1537535817.138,17360575.0,484.228179972,488015054.303541,17279787.0,6740.95529116,5565787348.98211,102095631.0,227.389423857,2254276741.631
1537535877.138,17360575.0,484.228179972,488015054.303541,17279787.0,6740.95529116,5565787348.98211,102095631.0,227.389423857,2254276741.631
1537535937.138,17360588.0,485.944847721,488958502.697833,17279787.0,6730.11696999,5568209575.11769,102095910.0,227.692987753,2255885315.08854
1537535997.138,17360588.0,485.944847721,488958502.697833,17279787.0,6730.11696999,5568209575.11769,102095910.0,227.692987753,2255885315.08854
1537536057.138,17360588.0,485.944847721,488958502.697833,17279787.0,6730.11696999,5568209575.11769,102095910.0,227.692987753,2255885315.08854
1537536117.138,17360588.0,489.261951366,492225972.90023,17279812.0,6721.25300033,5592582301.2193,102095910.0,228.578078,2267201738.60248
1537536177.138,17360588.0,489.261951366,492225972.90023,17279812.0,6721.25300033,5592582301.2193,102095910.0,228.578078,2267201738.60248
1537536237.138,17360588.0,489.261951366,492225972.90023,17279812.0,6721.25300033,5592582301.2193,102095910.0,228.578078,2267201738.60248
1537536297.138,17360588.0,484.432789636,490907564.794645,17279812.0,6712.71135937,5601511322.46896,102095910.0,228.477290999,2271587434.93287
1537536357.138,17360588.0,484.432789636,490907564.794645,17279812.0,6712.71135937,5601511322.46896,102095910.0,228.477290999,2271587434.93287
1537536417.138,17360588.0,484.432789636,490907564.794645,17279812.0,6712.71135937,5601511322.46896,102095910.0,228.477290999,2271587434.93287
1537536477.138,17360588.0,486.31034782,493419479.178362,17279812.0,6727.94082012,5608102226.48053,102095910.0,228.106856904,2270073169.39704
1537536537.138,17360588.0,486.31034782,493419479.178362,17279812.0,6727.94082012,5608102226.48053,102095910.0,228.106856904,2270073169.39704
1537536597.138,17360588.0,486.31034782,493419479.178362,17279812.0,6727.94082012,5608102226.48053,102095910.0,228.106856904,2270073169.39704
1537536657.138,17360588.0,486.314226313,493895052.105761,17279812.0,6730.16973437,5622608389.33202,102095910.0,228.384044789,2273573775.57614
1537536717.138,17360588.0,486.314226313,493895052.105761,17279812.0,6730.16973437,5622608389.33202,102095910.0,228.384044789,2273573775.57614
1537536777.138,17360588.0,486.314226313,493895052.105761,17279812.0,6730.16973437,5622608389.33202,102095910.0,228.384044789,2273573775.57614
1537536837.138,17360588.0,486.316997112,494556474.576513,17279812.0,6742.53959142,5632872141.36136,102095910.0,227.798166615,2271708361.11174
1537536897.138,17360588.0,486.316997112,494556474.576513,17279812.0,6742.53959142,5632872141.36136,102095910.0,227.798166615,2271708361.11174
1537536957.138,17360588.0,486.316997112,494556474.576513,17279812.0,6742.53959142,5632872141.36136,102095910.0,227.798166615,2271708361.11174
1537537017.138,17360588.0,486.429799259,494886601.118953,17279812.0,6739.90264835,5637541352.23013,102095910.0,228.005104109,2275690275.07385
1537537077.138,17360588.0,486.429799259,494886601.118953,17279812.0,6739.90264835,5637541352.23013,102095910.0,228.005104109,2275690275.07385
1537537137.138,17360588.0,486.429799259,494886601.118953,17279812.0,6739.90264835,5637541352.23013,102095910.0,228.005104109,2275690275.07385
1537537197.138,17360625.0,487.003380909,495575115.125904,17279875.0,6727.42533828,5652967204.68732,102096180.0,228.294606934,2279747329.2234
1537537257.138,17360625.0,487.003380909,495575115.125904,17279875.0,6727.42533828,5652967204.68732,102096180.0,228.294606934,2279747329.2234
1537537317.138,17360625.0,487.003380909,495575115.125904,17279875.0,6727.42533828,5652967204.68732,102096180.0,228.294606934,2279747329.2234
1537537377.138,17360625.0,487.504996923,496674365.147462,17279875.0,6727.57748245,5668222432.23634,102096180.0,228.74408494,2286717687.59889
1537537437.138,17360625.0,487.504996923,496674365.147462,17279875.0,6727.57748245,5668222432.23634,102096180.0,228.74408494,2286717687.59889
